index,poem
150,"muddat huī hai yaar ko mehmāñ kiye hue 
josh-e-qadah se bazm charāġhāñ kiye hue 
kartā huuñ jam.a phir jigar-e-laḳht-laḳht ko 
arsa huā hai dāvat-e-mizhgāñ kiye hue 
phir vaz-e-ehtiyāt se rukne lagā hai dam 
barsoñ hue haiñ chaak garebāñ kiye hue 
phir garm-nāla-hā-e-sharar-bār hai nafas 
muddat huī hai sair-e-charāġhāñ kiye hue 
phir pursish-e-jarāhat-e-dil ko chalā hai ishq 
sāmān-e-sad-hazār namak-dāñ kiye hue 
phir bhar rahā huuñ ḳhāma-e-mizhgāñ ba-ḳhūn-e-dil 
sāz-e-chaman tarāzi-e-dāmāñ kiye hue 
bāham-digar hue haiñ dil o diida phir raqīb 
nazzāra o ḳhayāl kā sāmāñ kiye hue 
dil phir tavāf-e-kū-e-malāmat ko jaa.e hai 
pindār kā sanam-kada vīrāñ kiye hue 
phir shauq kar rahā hai ḳharīdār kī talab 
arz-e-matā-e-aql-o-dil-o-jāñ kiye hue 
dauḌe hai phir har ek gul-o-lāla par ḳhayāl 
sad-gulistāñ nigāh kā sāmāñ kiye hue 
phir chāhtā huuñ nāma-e-dildār kholnā 
jaañ nazr-e-dil-farebi-e-unvāñ kiye hue 
māñge hai phir kisī ko lab-e-bām par havas 
zulf-e-siyāh ruḳh pe pareshāñ kiye hue 
chāhe hai phir kisī ko muqābil meñ aarzū 
surme se tez dashna-e-mizhgāñ kiye hue 
ik nau-bahār-e-nāz ko taake hai phir nigāh 
chehra faroġh-e-mai se gulistāñ kiye hue 
phir jī meñ hai ki dar pe kisī ke paḌe raheñ 
sar zer-bār-e-minnat-e-darbāñ kiye hue 
jī DhūñDtā hai phir vahī fursat ki raat din 
baiThe raheñ tasavvur-e-jānāñ kiye hue 
'ġhālib' hameñ na chheḌ ki phir josh-e-ashk se 
baiThe haiñ ham tahayya-e-tūfāñ kiye hue"
151,"mujh ko dayār-e-ġhair meñ maarā vatan se duur 
rakh lī mire ḳhudā ne mirī bekasī kī sharm 
vo halqa-hā-e-zulf kamīñ meñ haiñ yā ḳhudā 
rakh liijo mere dāva-e-vārastagī kī sharm"
152,"muñd ga.iiñ kholte hī kholte āñkheñ 'ġhālib' 
yaar laa.e mirī bālīñ pe use par kis vaqt"
153,"muzhda ai zauq-e-asīrī ki nazar aatā hai 
dām-e-ḳhālī qafas-e-murġh-e-giraftār ke paas 
jigar-e-tishna-e-āzār tasallī na huā 
jū-e-ḳhūñ ham ne bahā.ī bun-e-har ḳhaar ke paas 
muñd ga.iiñ kholte hī kholte āñkheñ hai hai 
ḳhuub vaqt aa.e tum is āshiq-e-bīmār ke paas 
maiñ bhī ruk ruk ke na martā jo zabāñ ke badle 
dashna ik tez sā hotā mire ġham-ḳhvār ke paas 
dahan-e-sher meñ jā baiThe lekin ai dil 
na khaḌe ho jiye ḳhūbān-e-dil-āzār ke paas 
dekh kar tujh ko chaman bas-ki numū kartā hai 
ḳhud-ba-ḳhud pahuñche hai gul gosha-e-dastār ke paas 
mar gayā phoḌ ke sar 'ġhālib'-e-vahshī hai hai 
baiThnā us kā vo aa kar tirī dīvār ke paas"
154,"na gul-e-naġhma huuñ na parda-e-sāz 
maiñ huuñ apnī shikast kī āvāz 
tū aur ārā.ish-e-ḳham-e-kākul 
maiñ aur andesha-hā-e-dūr-darāz 
lāf-e-tamkīñ fareb-e-sāda-dilī 
ham haiñ aur rāz-hā-e-sīna-gudāz 
huuñ giraftār-e-ulfat-e-sayyād 
varna baaqī hai tāqat-e-parvāz 
vo bhī din ho ki us sitamgar se 
naaz khīñchūñ bajā.e hasrat-e-nāz 
nahīñ dil meñ mire vo qatra-e-ḳhūñ 
jis se mizhgāñ huī na ho gul-bāz 
ai tirā ġhamza yak-qalam-añgez 
ai tirā zulm sar-ba-sar andāz 
tū huā jalva-gar mubārak ho 
rezish-e-sajda-e-jabīn-e-niyāz 
mujh ko pūchhā to kuchh ġhazab na huā 
maiñ ġharīb aur tū ġharīb-navāz 
'asad'-ullāh ḳhaañ tamām huā 
ai dareġhā vo rind-e-shāhid-bāz"
155,"na hogā yak-bayābāñ māñdgī se zauq kam merā 
habāb-e-mauja-e-raftār hai naqsh-e-qadam merā 
mohabbat thī chaman se lekin ab ye be-dimāġhī hai 
ki mauj-e-bū-e-gul se naak meñ aatā hai dam merā 
rah-e-ḳhvābīda thī gardan-kash-e-yak-dars-e-āgāhī 
zamīñ ko saili-e-ustād hai naqsh-e-qadam merā 
surāġh-āvāra-e-arz-e-do-ālam shor-e-mahshar huuñ 
par-afshāñ hai ġhubār aañ sū-e-sahrā-e-adam merā 
havā-e-sub.h yak-ālam garebāñ chākī-e-gul hai 
dahān-e-zaḳhm paidā kar agar khātā hai ġham merā 
na ho vahshat-kash-e-dars-e-sarāb-e-satr-e-āgāhī 
maiñ gard-e-rāh huuñ be-mudda.ā hai pech-o-ḳham merā 
'asad' vahshat-parast-e-gosha-e-tanhā.i-e-dil hai 
ba-rañg-e-mauj-e-mai ḳhamyāza-e-sāġhar hai ram merā"
156,"na huī gar mire marne se tasallī na sahī 
imtihāñ aur bhī baaqī ho to ye bhī na sahī 
ḳhaar ḳhār-e-alam-e-hasrat-e-dīdār to hai 
shauq gul-chīn-e-gulistān-e-tasallī na sahī 
mai-parastāñ ḳhum-e-mai muñh se lagā.e hī bane 
ek din gar na huā bazm meñ saaqī na sahī 
nafas-e-qais ki hai chashm-o-charāġh-e-sahrā 
gar nahīñ sham-e-siyah-ḳhāna-e-lailī na sahī 
ek hañgāme pe mauqūf hai ghar kī raunaq 
nauha-e-ġham hī sahī naġhma-e-shādī na sahī 
na satā.ish kī tamannā na sile kī parvā 
gar nahīñ haiñ mire ash.ār meñ ma.anī na sahī 
ishrat-e-sohbat-e-ḳhūbāñ hī ġhanīmat samjho 
na huī 'ġhālib' agar umr-e-tābī.ī na sahī"
157,"na leve gar ḳhas-e-jauhar tarāvat sabza-e-ḳhat se 
lagā.e ḳhāna-e-ā.īna meñ rū-e-nigār ātish 
faroġh-e-husn se hotī hai hall-e-mushkil-e-āshiq 
na nikle sham.a ke pā se nikāle gar na ḳhaar ātish 
sharar hai rañg ba.ad iz.hār-e-tāb-e-jalva-e-tamkīñ 
kare hai sañg par ḳhurshīd āb-e-rū-e-kār ātish 
panāve be-gudāz-e-mom rabt-e-paikar-ārā.ī 
nikāle kyā nihāl-e-sham.a be-tuḳhm-e-sharār ātish 
ḳhayāl-e-dūd thā sar-josh-e-saudā-e-ġhalat-fahmī 
agar rakhtī na ḳhākistar-nashīnī kā ġhubār ātish 
havā-e-par-fishānī barq-e-ḳhirman-hā-e-ḳhātir hai 
ba-bāl-e-sho.ala-e-betāb hai parvāna-zār ātish 
nahīñ barq-o-sharar juz vahshat-e-zabt-e-tapīdan-hā 
bilā gardān-e-be-parvā ḳharāmī-hā-e-yār ātish 
dhueñ se aag ke ik abr-e-dariyā-bār ho paidā 
'asad' haidar-parastoñ se agar hove do-chār ātish"
158,"na pūchh nusḳha-e-marham jarāhat-e-dil kā 
ki us meñ reza-e-almās juzv-e-āzam hai 
bahut dinoñ meñ taġhāful ne tere paidā kī 
vo ik nigah ki ba-zāhir nigāh se kam hai"
159,"na thā kuchh to ḳhudā thā kuchh na hotā to ḳhudā hotā 
Duboyā mujh ko hone ne na hotā maiñ to kyā hotā 
huā jab ġham se yuuñ be-his to ġham kyā sar ke kaTne kā 
na hotā gar judā tan se to zaanū par dharā hotā 
huī muddat ki 'ġhālib' mar gayā par yaad aatā hai 
vo har ik baat par kahnā ki yuuñ hotā to kyā hotā"
160,"naala juz husn-e-talab ai sitam-ījād nahīñ 
hai taqāzā-e-jafā shikva-e-bedād nahīñ 
ishq-o-mazdūri-e-ishrat-gah-e-ḳhusruv kyā ḳhuub 
ham ko taslīm niko-nāmi-e-farhād nahīñ 
kam nahīñ vo bhī ḳharābī meñ pa vus.at mālūm 
dasht meñ hai mujhe vo aish ki ghar yaad nahīñ 
ahl-e-bīnash ko hai tūfān-e-havādis maktab 
lutma-e-mauj kam-az saili-e-ustād nahīñ 
vaa.e mahrūmi-e-taslīm-o-badā hāl-e-vafā 
jāntā hai ki hameñ tāqat-e-faryād nahīñ 
rañg-e-tamkīn-e-gul-o-lālā pareshāñ kyuuñ hai 
gar charāġhān-e-sar-e-rah-guzar-e-bād nahīñ 
sabad-e-gul ke tale band kare hai gulchīñ 
muzhda ai murġh ki gulzār meñ sayyād nahīñ 
nafi se kartī hai isbāt tarāvish goyā 
dī hai jā-e-dahn us ko dam-e-ījād nahīñ 
kam nahīñ jalvagarī meñ tire kūche se bahisht 
yahī naqsha hai vale is qadar ābād nahīñ 
karte kis muñh se ho ġhurbat kī shikāyat 'ġhālib' 
tum ko be-mehri-e-yārān-e-vatan yaad nahīñ"
161,"nafas na anjuman-e-ārzū se bāhar khīñch 
agar sharāb nahīñ intizār-e-sāġhar khīñch 
kamāl-e-garmī-e-sa.ī-e-talāsh-e-dīd na pūchh 
ba-rañg-e-ḳhār mire aa.ine se jauhar khīñch 
tujhe bahāna-e-rāhat hai intizār ai dil 
kiyā hai kis ne ishārā ki nāz-e-bistar khīñch 
tirī taraf hai ba-hasrat nazāra-e-nargis 
ba-korī-e-dil-o-chashm-e-raqīb sāġhar khīñch 
ba-nīm-ġhamza adā kar haq-e-vadī.at-e-nāz 
niyām-e-parda-e-zaḳhm-e-jigar se ḳhanjar khīñch 
mire qadah meñ hai sahbā-e-ātish-e-pinhāñ 
ba-rū-e-sufra kabāb-e-dil-e-samandar khīñch 
na kah ki tāqat-e-rusvā.ī-e-visāl nahīñ 
agar yahī araq-e-fitna hai mukarrar khīñch 
junūn-e-ā.ina mushtāq-e-yak-tamāshā hai 
hamāre safhe pe bāl-e-parī se mistar khīñch 
ḳhumār-e-minnat-e-sāqī agar yahī hai 'asad' 
Dil-e-gudāḳhta ke mai-kade meñ sāġhar khīñch"
162,"nahīñ hai zaḳhm koī baḳhiye ke dar-ḳhur mire tan meñ 
huā hai tār-e-ashk-e-yās rishta chashm-e-sozan meñ 
huī hai māne-e-zauq-e-tamāshā ḳhāna-vīrānī 
kaf-e-sailāb baaqī hai ba-rañg-e-pumba rauzan meñ 
vadī.at-ḳhāna-e-bedād-e-kāvish-hā-e-mizhgāñ huuñ 
nagīn-e-nām-e-shāhid hai mire har qatra-e-ḳhūñ tan meñ 
bayāñ kis se ho zulmat-gustarī mere shabistāñ kī 
shab-e-mah ho jo rakh duuñ pamba dīvāroñ ke rauzan meñ 
nikohish māna-e-be-rabti-e-shor-e-junūñ aa.ī 
huā hai ḳhanda-e-ahbāb baḳhiya jeb-o-dāman meñ 
hue us mehr-vash ke jalva-e-timsāl ke aage 
par-afshāñ jauhar ā.īne meñ misl-e-zarra rauzan meñ 
na jānūñ nek huuñ yā bad huuñ par sohbat-muḳhālif hai 
jo gul huuñ to huuñ gulḳhan meñ jo ḳhas huuñ to huuñ gulshan meñ 
hazāroñ dil diye josh-e-junūn-e-ishq ne mujh ko 
siyah ho kar suvaidā ho gayā har qatra-e-ḳhūñ tan meñ 
'asad' zindāni-e-tāsīr-e-ulfat-hā-e-ḳhūbāñ huuñ 
ḳham-e-dast-e-navāzish ho gayā hai tauq gardan meñ 
fuzūñ kī dostoñ ne hirs-e-qātil zauq-e-kushtan meñ 
ho.e haiñ baḳhiya-hā-e-zaḳhm jauhar teġh-e-dushman meñ 
tamāshā kardanī hai lutf-e-zaḳhm-e-intizār ai dil 
suvaidā dāġh-e-marham mardumuk hai chashm-e-sozan meñ 
dil-o-dīn-o-ḳhirad tārāj-e-nāz-e-jalva-pairā.ī 
huā hai jauhar-e-ā.īna ḳhel-e-mor ḳhirman meñ 
nikohish māne-e-dīvāngī-hā-e-junūñ aa.ī 
lagāyā ḳhanda-e-nāseh ne baḳhiya jeb-o-dāman meñ"
163,"nahīñ ki mujh ko qayāmat kā e'tiqād nahīñ 
shab-e-firāq se roz-e-jazā ziyād nahīñ 
koī kahe ki shab-e-mah meñ kyā burā.ī hai 
balā se aaj agar din ko abr o baad nahīñ 
jo aa.uuñ sāmne un ke to marhabā na kaheñ 
jo jā.ūñ vaañ se kahīñ ko to ḳhair-bād nahīñ 
kabhī jo yaad bhī aatā huuñ maiñ to kahte haiñ 
ki aaj bazm meñ kuchh fitna-o-fasād nahīñ 
alāva iid ke miltī hai aur din bhī sharāb 
gadā-e-kūcha-e-mai-ḳhāna nā-murād nahīñ 
jahāñ meñ ho ġham-e-shādī baham hameñ kyā kaam 
diyā hai ham ko ḳhudā ne vo dil kī shaad nahīñ 
tum un ke va.ade kā zikr un se kyuuñ karo 'ġhālib' 
ye kyā ki tum kaho aur vo kaheñ ki yaad nahīñ"
164,"naqsh-e-nāz-e-but-e-tannāz ba-āġhosh-e-raqīb 
pā-e-tā.ūs pa.e-ḳhāma-e-mānī māñge 
tū vo bad-ḳhū ki tahayyur ko tamāshā jaane 
ġham vo afsāna ki āshufta-bayānī māñge 
vo tap-e-ishq-e-tamannā hai ki phir sūrat-e-sham.a 
sho.ala tā-nabz-e-jigar resha-davānī māñge 
tishna-e-ḳhūn-e-tamāshā jo vo paanī māñge 
aa.ina ruḳhsat-e-andāz-e-ravānī māñge 
rañg ne gul se dam-e-arz-e-pareshānī-e-bazm 
barg-e-gul reza-e-mīnā kī nishānī māñge 
zulf tahrīr-e-pareshān-e-taqāzā hai magar 
shāna-sāñ mū-ba-zabāñ ḳhāma-e-mānī māñge 
āmad-e-ḳhat se na kar ḳhanda-e-shīrīñ ki mabād 
chashm-e-mor ā.īna-e-dil nigarānī māñge 
huuñ giraftār-e-kamīñ-gāh-e-taġhāful ki jahāñ 
ḳhvāb sayyād se parvāz-e-girānī māñge 
chashm parvāz o nafas ḳhufta magar zo.af-e-umīd 
shahpar-e-kāh pa.e-muzhda-risānī māñge 
vahshat-e-shor-e-tamāshā hai ki juuñ nik.hat-e-gul 
namak-e-zaḳhm-e-jigar bāl-fishānī māñge 
gar mile hazrat-e-'bedil' kā ḳhat-e-lauh-e-mazār 
'asad' ā.īn-e-parvāz-e-ma.ānī māñge 
rañg ne gul se dam-e-arz-e-pareshānī-e-bazm 
barg-e-gul reza-e-mīnā kī nishānī māñge"
165,"naqsh fariyādī hai kis kī shoḳhi-e-tahrīr kā 
kāġhzī hai pairahan har paikar-e-tasvīr kā 
kaav kāv-e-saḳht-jānī hā.e-tanhā.ī na pūchh 
sub.h karnā shaam kā laanā hai jū-e-shīr kā 
jazba-e-be-iḳhtiyār-e-shauq dekhā chāhiye 
sīna-e-shamshīr se bāhar hai dam shamshīr kā 
āgahī dām-e-shunīdan jis qadar chāhe bichhā.e 
mudda.ā anqā hai apne ālam-e-taqrīr kā 
bas-ki huuñ 'ġhālib' asīrī meñ bhī ātish zer-e-pā 
mū-e-ātish diida hai halqa mirī zanjīr kā 
ātishīñ-pā huuñ gudāz-e-vahshat-e-zindāñ na pūchh 
mū-e-ātish diida hai har halqa yaañ zanjīr kā 
shoḳhī-e-nairañg said-e-vahshat-e-tā.ūs hai 
dām-e-sabza meñ hai parvāz-e-chaman tasḳhīr kā 
lazzat-e-ījād-e-nāz afsūn-e-arz-e-zauq-e-qatl 
na.al ātish meñ hai teġh-e-yār se naḳhchīr kā 
ḳhisht pusht-e-dast-e-ijz o qālib āġhosh-e-vidā.a 
pur huā hai sail se paimāna kis ta.amīr kā 
vahshat-e-ḳhvāb-e-adam shor-e-tamāshā hai 'asad' 
jo maza jauhar nahīñ ā.īna-e-ta.abīr kā"
166,"nashsha-hā shādāb-e-rañg o sāz-hā mast-e-tarab 
shīsha-e-mai sarv-e-sabz-e-jū-e-bār-e-naġhma hai 
ham-nashīñ mat kah ki barham kar na bazm-e-aish-e-dost 
vaañ to mere naale ko bhī e'tibār-e-naġhma hai"
167,"naved-e-amn hai bedād-e-dost jaañ ke liye 
rahī na tarz-e-sitam koī āsmāñ ke liye 
balā se gar mizha-e-yār tishna-e-ḳhūñ hai 
rakhūñ kuchh apnī bhī mizhgān-e-ḳhūñ fishāñ ke liye 
vo zinda ham haiñ ki haiñ rū-shanās-e-ḳhalq ai ḳhizr 
na tum ki chor bane umr-e-jāvedāñ ke liye 
rahā balā meñ bhī maiñ mubtala-e-āfat-e-rashk 
balā-e-jāñ hai adā terī ik jahāñ ke liye 
falak na duur rakh us se mujhe ki maiñ hī nahīñ 
darāz-dasti-e-qātil ke imtihāñ ke liye 
misāl ye mirī koshish kī hai ki murġh-e-asīr 
kare qafas meñ farāham ḳhas āshiyāñ ke liye 
gadā samajh ke vo chup thā mirī jo shāmat aa.ī 
uThā aur uTh ke qadam maiñ ne pāsbāñ ke liye 
ba-qadr-e-shauq nahīñ zarf-e-tangnā-e-ġhazal 
kuchh aur chāhiye vus.at mire bayāñ ke liye 
diyā hai ḳhalq ko bhī tā use nazar na lage 
banā hai aish tajammul husain ḳhaañ ke liye 
zabāñ pe bār-e-ḳhudāyā ye kis kā naam aayā 
ki mere nutq ne bose mirī zabāñ ke liye 
nasīr-e-daulat-o-dīñ aur muīn-e-millat-o-mulk 
banā hai charḳh-e-barīñ jis ke āstāñ ke liye 
zamāna ahd meñ us ke hai mahv-e-ārā.ish 
baneñge aur sitāre ab āsmāñ ke liye 
varaq tamām huā aur mad.h baaqī hai 
safīna chāhiye is bahr-e-be-karāñ ke liye 
adā-e-ḳhās se 'ġhālib' huā hai nukta-sarā 
salā-e-ām hai yārān-e-nukta-dāñ ke liye"
168,"nikohish hai sazā fariyādi-e-be-dād-e-dilbar kī 
mabādā ḳhanda-e-dandāñ-numā ho sub.h mahshar kī 
rag-e-lailā ko ḳhāk-e-dasht-e-majnūñ reshgī baḳhshe 
agar bove bajā-e-dāna dahqāñ nok nishtar kī 
par-e-parvāna shāyad bādbān-e-kashtī-e-mai thā 
huī majlis kī garmī se ravānī daur-e-sāġhar kī 
karūñ be-dād-e-zauq-e-par-fishānī arz kyā qudrat 
ki tāqat uḌ ga.ī uḌne se pahle mere shahpar kī 
kahāñ tak ro.uuñ us ke ḳheme ke pīchhe qayāmat hai 
mirī qismat meñ yā-rab kyā na thī dīvār patthar kī 
ba-juz dīvāngī hotā na anjām-e-ḳhud-ārā.ī 
agar paidā na kartā aa.ina zanjīr jauhar kī 
ġhurūr-e-lutf-e-sāqī nashsha-e-be-bākī-e-mastāñ 
nam-e-dāmān-e-isyāñ hai tarāvat mauj-e-kausar kī 
mirā dil māñgte haiñ āriyat ahl-e-havas shāyad 
ye jaanā chāhte haiñ aaj dāvat meñ samundar kī 
'asad' juz āb-e-baḳhshīdan ze-dariyā ḳhizr ko kyā thā 
Dubotā chashma-e-haivāñ meñ gar kashtī sikandar kī"
169,"nukta-chīñ hai ġham-e-dil us ko sunā.e na bane 
kyā bane baat jahāñ baat banā.e na bane 
maiñ bulātā to huuñ us ko magar ai jazba-e-dil 
us pe ban jaa.e kuchh aisī ki bin aa.e na bane 
khel samjhā hai kahīñ chhoḌ na de bhuul na jaa.e 
kaash yuuñ bhī ho ki bin mere satā.e na bane 
ġhair phirtā hai liye yuuñ tire ḳhat ko ki agar 
koī pūchhe ki ye kyā hai to chhupā.e na bane 
is nazākat kā burā ho vo bhale haiñ to kyā 
haath aaveñ to unheñ haath lagā.e na bane 
kah sake kaun ki ye jalvagarī kis kī hai 
parda chhoḌā hai vo us ne ki uThā.e na bane 
maut kī raah na dekhūñ ki bin aa.e na rahe 
tum ko chāhūñ ki na aao to bulā.e na bane 
bojh vo sar se girā hai ki uThā.e na uThe 
kaam vo aan paḌā hai ki banā.e na bane 
ishq par zor nahīñ hai ye vo ātish 'ġhālib' 
ki lagā.e na lage aur bujhā.e na bane"
170,"ohde se mad.h-e-nāz ke bāhar na aa sakā 
gar ik adā ho to use apnī qazā kahūñ 
halqe haiñ chashm-hā-e-kushāda ba-sū-e-dil 
har tār-e-zulf ko nigah-e-surma-sā kahūñ 
maiñ aur sad-hazār navā-e-jigar-ḳharāsh 
tū aur ek vo nā-shunīdan ki kyā kahūñ 
zālim mire gumāñ se mujhe munfa.il na chaah 
hai hai ḳhudā-na-karda tujhe bevafā kahūñ"
171,"pā-ba-dāman ho rahā huuñ bas-ki maiñ sahrā-navard 
ḳhār-e-pā haiñ jauhar-e-ā.īna-e-zānū mujhe 
dekhnā hālat mire dil kī ham-āġhoshī ke vaqt 
hai nigāh-e-āshnā terā sar-e-har-mū mujhe 
huuñ sarāpā sāz-e-āhañg-e-shikāyat kuchh na pūchh 
hai yahī behtar ki logoñ meñ na chheḌe tū mujhe 
bā.is-e-vāmāndgī hai umr-e-fursat-jū mujhe 
kar diyā hai pā-ba-zanjīr-e-ram-e-āhū mujhe 
ḳhāk-e-fursat bar-sar-e-zauq-e-fanā ai intizār 
hai ġhubār-e-shīsha-e-sā.at ram-e-āhū mujhe 
ham-zabāñ aayā nazar fikr-e-suḳhan meñ tū mujhe 
mardumuk hai tūtī-e-ā.īna-e-zānū mujhe 
yād-e-mizhgāñ meñ ba-nashtar-e-zār-e-saudā-e-ḳhayāl 
chāhiye vaqt-e-tapish yak-dast sad-pahlū mujhe 
iztirāb-e-umr be-matlab nahīñ āḳhir ki hai 
justujū-e-fursat-e-rabt-e-sar-e-zānū mujhe 
chāhiye darmān-e-rīsh-e-dil bhī teġh-e-yār se 
maram-e-zañgār hai vo vasma-e-abrū mujhe 
kasrat-e-jaur-o-sitam se ho gayā huuñ be-dimāġh 
ḳhūb-rūyoñ ne banāyā 'ġhālib'-e-bad-ḳhū mujhe 
fursat-e-ārām-e-ġhash hastī hai bohrān-e-adam 
hai shikast-e-rañg-e-imkāñ gardish-e-pahlū mujhe 
sāz-e-īmā-e-fanā hai ālam-e-pīrī 'asad' 
qāmat-e-ḳham se hai hāsil shoḳhī-e-abrū mujhe"
172,"pa.e-nazr-e-karam tohfa hai sharm-e-nā-rasā.ī kā 
ba-ḳhūñ-ġhaltīda-e-sad-rañg da.avā pārsā.ī kā 
na ho husn-e-tamāshā-dost rusvā bevafā.ī kā 
ba-mohr-e-sad-nazar sābit hai da.avā pārsā.ī kā 
zakāt-e-husn de ai jalva-e-bīnish ki mehr-āsā 
charāġh-e-ḳhāna-e-darvesh ho kaasa gadā.ī kā 
na maarā jaan kar be-jurm ġhāfil terī gardan par 
rahā mānind-e-ḳhūn-e-be-gunah haq āshnā.ī kā 
tamannā-e-zabāñ mahv-e-sipās-e-be-zabānī hai 
miTā jis se taqāzā shikva-e-be-dast-o-pā.ī kā 
vahī ik baat hai jo yaañ nafas vaañ nik.hat-e-gul hai 
chaman kā jalva baa.is hai mirī rañgīñ-navā.ī kā 
dahān-e-har-but-e-paiġhāra-jū zanjīr-e-rusvā.ī 
adam tak bevafā charchā hai terī bevafā.ī kā 
na de naale ko itnā tuul 'ġhālib' muḳhtasar likh de 
ki hasrat-sanj huuñ arz-e-sitam-hā-e-judā.ī kā 
jahāñ miT jaa.e sa.ī-e-dīd ḳhizrābād-e-āsā.ish 
ba-jeb-e-har-nigah pinhāñ hai hāsil rahnumā.ī kā 
ba-ijz-ābād vahm-e-mudda.ā taslī-e-shoḳhī hai 
taġhāful ko na kar masrūf-e-tamkīñ-āzmā.ī kā 
'asad' kā qissa tūlānī hai lekin muḳhtasar ye hai 
ki hasrat-kash rahā arz-e-sitam-hā-e-judā.ī kā 
havas gustāḳhī-e-ā.īna taklīf-e-nazar-bāzī 
ba-jeb-e-ārzū pinhāñ hai hāsil dilrubā.ī kā 
nazar-bāzī tilism-e-vahshat-ābād-e-paristāñ hai 
rahā begāna-e-tāsīr afsūñ āshnā.ī kā 
na paayā dardmand-e-dūrī-e-yārān-e-yak-dil ne 
savād-e-ḳhatt-e-peshānī se nusḳha momyā.ī kā 
'asad' ye ijz-o-be-sāmānī-e-fir.aun-e-tauam hai 
jise tū bandagī kahtā hai da.avā hai ḳhudā.ī kā"
173,"phir huā vaqt ki ho bāl-kushā mauj-e-sharāb 
de bat-e-mai ko dil-o-dast-e-shanā mauj-e-sharāb 
pūchh mat vaj.h-e-siyah-mastī-e-arbāb-e-chaman 
sāya-e-tāk meñ hotī hai havā mauj-e-sharāb 
jo huā ġharqa-e-mai baḳht-e-rasā rakhtā hai 
sar se guzre pe bhī hai bāl-e-humā mauj-e-sharāb 
hai ye barsāt vo mausam ki ajab kyā hai agar 
mauj-e-hastī ko kare faiz-e-havā mauj-e-sharāb 
chaar mauj uThtī hai tūfān-e-tarab se har sū 
mauj-e-gul mauj-e-shafaq mauj-e-sabā mauj-e-sharāb 
jis qadar rūh-e-nabātī hai jigar tishna-e-nāz 
de hai taskīñ ba-dam-e-āb-e-baqā mauj-e-sharāb 
bas-ki dauḌe hai rag-e-tāk meñ ḳhuuñ ho ho kar 
shahpar-e-rañg se hai bāl-kushā mauj-e-sharāb 
mauja-e-gul se charāġhāñ hai guzar-gāh-e-ḳhayāl 
hai tasavvur meñ zi-bas jalva-numā mauj-e-sharāb 
nashshe ke parde meñ hai mahv-e-tamāshā-e-dimāġh 
bas-ki rakhtī hai sar-e-nash-o-numā mauj-e-sharāb 
ek aalam pe haiñ tūfāni-e-kaifiyat-e-fasl 
mauja-e-sabza-e-nau-ḳhez se tā mauj-e-sharāb 
sharh-e-hañgāma-e-hastī hai zahe mausam-e-gul 
rah-bar-e-qatrā-ba-dariyā hai ḳhoshā mauj-e-sharāb 
hosh uḌte haiñ mire jalva-e-gul dekh 'asad' 
phir huā vaqt ki ho bāl-kushā mauj-e-sharāb"
174,"phir is andāz se bahār aa.ī 
ki hue mehr-o-mah tamāshā.ī 
dekho ai sākinān-e-ḳhitta-e-ḳhāk 
is ko kahte haiñ ālam-ārā.ī 
ki zamīñ ho ga.ī hai sar-tā-sar 
rū-kash-e-sat.h-e-charḳh-e-mīnā.ī 
sabza ko jab kahīñ jagah na milī 
ban gayā rū-e-āb par kaa.ī 
sabza o gul ke dekhne ke liye 
chashm-e-nargis ko dī hai bīnā.ī 
hai havā meñ sharāb kī tāsīr 
bāda-noshī hai bāda-paimā.ī 
kyuuñ na duniyā ko ho ḳhushī 'ġhālib' 
shāh-e-dīñ-dār ne shifā paa.ī"
175,"phir kuchh ik dil ko be-qarārī hai 
siina juyā-e-zaḳhm-e-kārī hai 
phir jigar khodne lagā nāḳhun 
āmad-e-fasl-e-lāla-kārī hai 
qibala-e-maqsad-e-nigāh-e-niyāz 
phir vahī parda-e-amārī hai 
chashm dallāl-e-jins-e-rusvā.ī 
dil ḳharīdār-e-zauq-e-ḳhvārī hai 
vahī sad-rañg nāla-farsā.ī 
vahī sad-gona ashk-bārī hai 
dil havā-e-ḳhirām-e-nāz se phir 
mahsharistān-e-be-qarārī hai 
jalva phir arz-e-nāz kartā hai 
roz bāzār-e-jāñ-sipārī hai 
phir usī bevafā pe marte haiñ 
phir vahī zindagī hamārī hai 
phir khulā hai dar-e-adālat-e-nāz 
garm-bāzār-e-faujdārī hai 
ho rahā hai jahān meñ andher 
zulf kī phir sirishta-dārī hai 
phir diyā pāra-e-jigar ne savāl 
ek fariyād o āh-o-zārī hai 
phir hue haiñ gavāh-e-ishq talab 
ashk-bārī kā hukm-jārī hai 
dil o mizhgāñ kā jo muqaddama thā 
aaj phir us kī rū-bakārī hai 
be-ḳhudī be-sabab nahīñ 'ġhālib' 
kuchh to hai jis kī parda-dārī hai"
